date,daily_return_pct,account_value_usd,cumulative_return_pct
03/12/2025,7.6,28077186.22,11130.87
04/12/2025,12.13,31481980.73,12492.79
05/12/2025,1.41,31926799.4,12670.72
08/12/2025,2.69,32785410.12,13014.16
09/12/2025,-0.18,32725718.07,12990.29
10/12/2025,-7.07,30410655.63,12064.26
11/12/2025,2.45,31155244.8,12362.1
12/12/2025,-5.59,29412162.57,11664.87
15/12/2025,1.57,29873477.13,11849.39
16/12/2025,-0.98,29581695.67,11732.68
17/12/2025,7.98,31943641.06,12677.46
18/12/2025,3.43,33040189.15,13116.08
19/12/2025,1.58,33561540.55,13324.62
22/12/2025,1.56,34084753.39,13533.9
23/12/2025,-2.89,33099586.49,13139.83
24/12/2025,-2.62,32233290.41,12793.32
25/12/2025,0.1,32264467.79,12805.79
26/12/2025,-1.67,31725984.94,12590.39
29/12/2025,-0.91,31437169.08,12474.87
30/12/2025,-0.12,31399607.08,12459.84
31/12/2025,0.1,31430573.59,12472.23
02/01/2026,2.86,32329488.0,12831.8
05/01/2026,5.23,34019316.89,13507.73
06/01/2026,-3.1,32964718.07,13085.89
07/01/2026,4.1,34316271.51,13626.51
08/01/2026,-3.3,33183834.55,13173.53
09/01/2026,9.3,36269931.16,14407.97
12/01/2026,9.81,39828011.41,15831.2
13/01/2026,7.2,42695628.23,16978.25
14/01/2026,1.9,43506845.17,17302.74
15/01/2026,-1.65,42788982.22,17015.59
16/01/2026,1.07,43246824.33,17198.73
19/01/2026,-3.15,41884549.36,17195.579999999998
20/01/2026,-2.05,41025916.1,17193.53
21/01/2026,-1.56,40385911.81046535,17191.969999999998
22/01/2026,4.06,42025579.82997024,17196.03
23/01/2026,1.13,42500468.882048905,17197.16
2026-01-26,-5.58,40128942.71843058,17191.579999999998
